,sample_1,sample_3,sample_2,sample_10,sample_9,sample_12,sample_11,sample_6,sample_4,sample_5,sample_7,sample_8
WDR11,2919,3591,3662,4041,5656,3620,3033,6666,3058,3284,5559,5458
ARMH3,2340,3029,3123,2912,2368,2571,2252,2759,2104,2251,2694,2004
CFAP58,7,12,5,15,20,13,9,18,22,17,49,52
GOT1,6412,7125,10007,8306,5343,8970,5842,5213,5215,5929,6102,4642
CPN1,0,0,0,1,0,0,0,0,1,0,2,1
C10orf95,14,11,10,16,3,14,7,10,8,8,11,0
SFRP5,31,52,86,33,26,58,33,43,24,45,31,36
GNA13,7951,9325,9754.54,10214,8018,11340,8182,9422.51,8598,8677,11088,8500.54
HOXB8,9348.8,10372,11308,8490.9,5012.7,7166,8536,9200,6633,7261,5729,4091
HOXB1,0,0,0,2,7,2,0,0,1,2,2,8
DUSP1,1768,2462,2790,3168,2365,2714,1834,2517,2202,2579,2130,1612
PANK3,14733,18000.94,22267.94,21622.97,20795,34386,16149.98,21812,23223.99,23570.99,22409.98,18863
MSX2,32,148,156,566.92,4000,152,129,6726.98,497.98,904.99,1471.99,2721.99
RCL1,407,558,682,730,684,595,490,728,466,504,650,497
CAAP1,805,892,623,789,1157,765,800,1315,726,776,1133,1047
EQTN,3,2,3,1,6,4,3,6,0,2,0,1
MOB3B,9509,11411,7942,6239,7967,5264,9097,12800,4822,6150,1288,2266
INSL6,0,0,0,0,1,0,0,3,0,0,0,0
INSL4,0,0,3,1,40,0,0,99,1,0,35,37
MLANA,7,3,6,16,330,23,21,26,27,46,1,1
CD274,9,14,16,29,43,23,9,100,25,19,95,55
IFNA6,0,0,0,0,0,0,0,0,0,0,1,0
IFNA8,0,0,0,0,0,0,0,0,0,0,0,0
NUP43,1024,1220,1500,1519,2095,1465,1149,1960,1343,1395,1964,2493
LRP11,2854.46,3229,3208.3,3257,2798.44,3375.25,2889.16,2767.25,2168.24,2617.07,3430.32,2602.01
CCDC170,17,44,54,131,124,70,29,106,103,126,133,94
TASL,0,0,0,0,0,0,0,0,0,0,1,0
MAGEB4,0,0,0,0,0,0,0,2,1,0,0,0
CYSTM1,1596,1934,2107,2154,1270,2050,1607,1648,1203,1334,1967,1169
ARAP3,34,49,66,116,216,130,80,248,110,91,460,443
PCDHB8,19.3,22.06,18.93,31.29,32.34,40.58,15.6,29.13,21.5,20.05,39.1,30.38
PCDHB10,887.62,1100.64,872,1015.43,841.01,926.29,952.59,890.52,811.45,865.58,924.58,564.51
PCDHB12,80,110.15,99.8,118.37,92.98,99.94,122.6,137.45,73.28,100.2,85.7,92.02
SLC25A2,0,0,0,0,4,0,0,2,0,0,0,0
MRPS14,2103,2626,2407,2450,2365,2199,2224,2699,1832,2042,2114,1790
ACAT2,8821,11572,18776,18960,12117,18963,8413,10896,16295,17371,3685,2905
TCP1,10471.99,13514.98,16287.98,16083.94,14293.93,16343.9,11478.99,15016.94,12298.91,13434.99,14461.98,15065.98
TTLL2,0,0,0,3,1,1,0,0,3,0,2,2
KCNJ5,126,125,138,97,25,86,84,80,47,39,243,98
ENY2,2570,3475,3517,3210,4085,3432,2676,3575,2811,3062,3615,4405
LYZL1,1,0,0,0,0,0,0,0,0,0,0,0
PLXDC2,1689,2067,2968,3670,9023,5183,2092,13180,3400,3104,8345,7522
EPC1,6431,7962,8412,6596,5767,7767,6323,5888,5110,5600,5146,4304
IQSEC3,2108.82,2666.57,3104.27,2716.22,1764.76,3657.77,2092.79,1923.66,1882.06,2363.77,2202.13,1824.65
CCDC77,301,364,386,394,568,349,366,512,324,346,621,1084
TNFSF11,3,0,3,4,3,15,0,2,6,6,36,42
MTRF1,316,310,339,400,390,376,297,366,288,282,406,266
SOHLH2,77.51,84.86,58.29,133,70.65,65.11,104.19,78,29,34.23,38.41,43
DNAJC15,291,333,378,414,808,405,427,1343,266,295,1148,1276
PROSER1,2535,3073,3079,2812,3854,3268,3050,3443,2523,2728,3293,4261
UFM1,6046,6981,7183,6625,6928,7490,6018,8193,5680,6561,7599,6011
WBP4,582,740,673,617,826,775,654,795,502,610,903,885
ELF1,162,233,220,449,870,244,297,846,396,402,1013,1482
HSPH1,8102,10551,13252,15129,14391,16817,8687,14864,11059,12534,14136,13594
KBTBD7,1839.65,2266.5,2102.09,1764.18,2044.59,2138.82,1843.46,2253.66,1644.21,1957.74,1533.22,1365.2
ETF1,6379.84,7703.85,8945.95,8734.96,8811.93,8809.92,6554.93,10403.9,6522,7244.94,10301.99,10043.99
TGFBI,1339,3551,5938,16357,14241,8973,5261,16840,12842,10456,28990,21683
FAM53C,5439,6399,6676,7129,5755,6109,5072,6195,4414,4694,6986,7915
SIL1,345,533,678,999,2421,588,527,2843,674,808,880,1166
PAIP2,7226.66,9058.37,9690,8302,7810.38,9047,7354,8204,6385.55,7269,6676,6232.24
KDM3B,6484,8291,9004,8628,10835,9276,7041,11097,7118,7884,8560,9372
EGR1,1062,1800,2555,1015,5730,6647,454,3107,3405,4330,3364,2997
SERP1,3081,3503,3814,4712,6941,3800,3720,7020,3857,4121,5383,5854
PLS1,75,106,105,111,134,61,107,242,100,74,136,173
NR2C1,1198,1376,1323,1270,2046,1564,1182,2148.58,1174,1204,1736,1714
UTP20,631,804,903,1511,1665,1021,943,1678,1177,1058,1301,1625
ARL1,1691,2175,2414,3078,5059,2850,2237,6062,2544,2794,3805,4074
MTERF2,819,919,1011,913,1101,989,782,1222,694,834,1093,924
SOCS2,1298,1779,2032,1911,1247,2234,1406,1479,1497,1497,1150,1164
NFYB,1782,2030,2026,1817,2393,2264,1871,2133,1785,2058,2086,2527
WASHC3,974,1247,1327,1254,880,1253,1084,961,814,1025,973,744
DUSP4,12900,17135,28893,15486,17998,37292,12449,18648,15722,17654,17327,14003
CLU,1636,2272,3518,2814,10255,4927,2018,12513,2332,2746,3785,6095
TNFRSF10B,6504,5920,7387,7721,8548,4071,5648,10750,5107,5146,10898,6130
PTK2B,445,539,533,525,746,490,469,1061,321,433,516,701
CHRNA2,47.02,42.02,45,33.01,28,35.01,41,25.02,20.01,34.01,7,5
ADRA1A,315,480,626,647,744,719,453,354,521,588,438,328
EPHX2,512,603,493,614,772,327,476,1047,286,270,449,375
RNF170,2688,3016,3056,2793,3053,2619,2439,3949,2073,2310,2826,2329
NPPB,52,61,51,121,11,33,31,28,54,34,59,17
TNFRSF8,7,2,15,8,4,3,1,6,6,4,10,15
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,2
ZNF706,2634.98,3025.94,3159,2968.98,3210,3433.89,2535,3953.93,2438,2545,3518.95,2825
LYPLA1,3530.53,4237.36,3091.89,3178.53,3786.59,3966.26,3726.98,4478.15,3543.83,4070.91,3900.13,3701.17
CRISPLD1,473,770,769,1305,6844,997,999,16206,1655,2022,2104,4974
COPS5,3560,4090,4615,4599,3665,4436,2993,4277.65,2978,3390.74,3754,2895
RDH10,703,1156,1679,1195,2768,2554,957,1875,1400,1406,1903,3339
EPX,0,0,2,1,0,1,0,0,0,2,0,1
AKAP1,4035,4496,4707,5099,2900,4755,3955,4556,3173,3448,3049,2427
COIL,1729,2125,2493.99,2054,2358,2420,1651,2556,1831,2070,1751,1488
SPOP,4136,4788,5094,4647,4455,4582,3915,4830,3156,3749,4655,3904
TBX2,52,76,66,54,417,100,75,723,74,27,49,170
SLC35B1,1772,2129,2655,2790,2791,2671,2024,2469,1838,2136,2207,1939
TBX4,0,0,1,1,2,0,1,0,0,2,2,11
FAM117A,150,170,190,190,984,191,143,707,201,220,405,1559
NCAPH,150,163,212,373,922,238,312,435,477,361,1140,2718
LRAT,30,70,108,103,496,269,57,202,83,179,374,870
TMEM131L,1285,1493,1321,1965,1698,1200,1629,1656,1218,1371,1908,2493
MND1,24,28,44,57,190,39,49,98,64,62,153,376
TRIM6,8,16.7,18,73.05,117,26,30,65.02,69.24,34.79,147,168
CEP89,3157,3712,3813,3942,3074,3740,3088,3315.39,2761,3001,3399,3011
TSHZ3,5011,6264,8283.6,4566,5054,9430,4416,4679,5109,5438,4689,4310
ECHDC2,33,24,53,52,59,87,36,49,30,32,72,86
PLBD1,0,1,5,13,16,7,14,12,22,7,30,35
TAS2R10,6,8,1,6,4,5,5,7,6,4,7,1
PRB2,2,0,1,2,4,4,0,2,0,3,4,1
PYROXD1,1155.08,1317.35,1487.77,1235.85,1090.56,1359.46,1194.82,1519.62,1046.58,1248.65,1500.53,1103.3
IAPP,13,20,8,28,10,9,37,13,5,8,25,20
KCNJ8,10,26,95,85,112,34,31,134,90,40,201,362
TAS2R7,1,0,0,0,0,2,0,0,1,0,0,1
BCL2L14,0,0,0,0,0,1,0,1,0,0,6,3
TAS2R9,0,0,1,0,1,0,0,2,0,1,0,0
PSPC1,4517.99,5881.84,6093.11,5299.68,5409.22,5500.11,4244.37,5367.87,4036.59,4842.68,4417.68,5019.86
ZNF549,1276,1459,1630,1532,1166,1520,1165,1327,1075,1221,1285,1028.83
A1BG,269,305.79,411.53,430.09,373.22,399.32,233.79,384.72,272.93,281.46,262.94,174.59
ZNF211,1471,1715,1930,1730.74,1659,2060,1348,1747,1375,1541,1425.41,1364
PDZRN3,1438,1816.13,2385,1995,2344,3560,1395,1192,2700,2431,1449,2617
RGSL1,0,0,0,0,0,0,0,1,0,0,1,1
LHX4,91,397,134,138,472,78,221,117,65,490,77,70
RNF2,4408,5277,4775,4251,4686,5492,4577,4961,4115,4640,4397,3944
TRMT1L,1463,1702,1575,1756,1542,1480,1455,1736,1277,1437,1437,1130
SEC22A,1040,1179,1196,1208,1011,1043,1017,1106,880,953,1202,1016
CSTA,0,4,1,8,6,5,9,3,8,7,2,10
B4GALT4,580,738,734,856,1226,820,667,1467,690,690,921,862
CD80,1,0,1,3,1,0,0,1,0,0,5,4
KIF18A,27,42,55,113,442,115,83,339,172,185,925,2427
DESI2,2175.98,2561.98,3144.95,3572.97,4065.73,3984.97,2587,3504.95,3123.97,3327.96,4322.95,4558.98
MAPK8IP1,17192.61,19580.51,20515.45,20829.83,10434.19,19883.71,15590.46,12711.47,11610.45,13023.5,15777.54,8774.76
CRY2,2455,3079,3184,2974,2544,3458,2255,2685,1935,2313,2581,2076
PEX16,688,760,930,867,629,696,571,707,490,633,701,464
DEPDC7,92,94,108,124,189,101,86,210,86,83,123,165
CAT,0,0,0,0,0,0,0,2,0,0,0,1
GJB6,0,0,0,1,0,0,0,7,4,0,4,5
GJA3,2,6,6,5,13,12,5,45,10,9,60,58
FABP3,2317,4049,5059,11564,2726,6992,3583,2962,6566,5776,1271,707
KHDRBS1,12464,15999,18031,15823,17546,17603,13609,17220,13884,15091,12451,14414
TMEM39B,684,892,963,767,780,837,513,610,626,686,609,566
CCRL2,0,0,0,0,0,0,0,0,0,1,2,0
POLR3GL,1538.94,1947,1788,1649.95,1544,1450.99,1674,1675.98,1037,1235,1338,1257
GHSR,1,2,4,1,0,8,0,1,3,0,4,0
TNFSF10,4,58,99,12,7,2,28,7,18,2,10,35
ZNF639,1915,2422,2549,2454,2312,3094,1911,2236,2090,2210,2241,1889
SLITRK3,2475,2821,2629,4465,2049,2594,3105,5706,1839,2049,2473,1517
PDS5A,4782,5701,6488,6637,8266,7588,5131,7829,5845,6103,8934,8615
TMEM156,1,1,3,1,0,1,0,2,1,3,19,4
LIAS,658,721,711,693,584,558,705.94,648,371,393,593,489
CPXM2,4,12,29,63,53,44,27,47,23,31,83,105
TMEM54,198,236,250,278,119,180,225,165,111,160,338,215
HPCA,330,410,325,299,161,215,303,241,140,209,188,166
LRIF1,1335,1516,1542,1473,1503,1571,1324,1676,1204,1307,1604,1419
TMIGD3,0,0,0,0,0,0,1,0,0,0,7,1
ZRANB3,543,609,662,671,580,590,606,607,465,499,561,505
ACVR2A,4829,6398,7460,6416,6851,7816,4849,7230,6300,7131,6142,5380
POLK,1610,1986,1888,1832,1675,1957,1692,2237,1675,1706,1788,1360
SV2C,17495,22348,21274,20514,10846,15729.94,18029,13966,11989,15244,19390,12903
UBL3,5128,5693,5613,4873,6221,7345,4580,6748,5197,5373,6866,5608
FYTTD1,7533,8980,10477,8809,8828,11883,7915,9343,7653,8952,11053,9949
MTERF4,2357,2821,2953,2827,2946,3220,2296,2987,1969,2226,2594,2357
SASH3,0,0,0,2,0,1,0,0,0,0,0,2
PAEP,0,0,0,0,0,0,0,0,0,0,2,0
TBX22,0,0,0,0,0,0,0,0,0,0,0,0
FMOD,2,4,1,7,11,1,1,2,1,2,3,21
MYOG,4,23,4,177,71,64,74,31,19,4,18,116
LAX1,0,0,0,0,3,2,0,5,0,0,1,1
KIAA1191,10201.99,12083.97,13565.99,13030.99,10084.98,12513.99,9565.99,11336.98,9038.98,10078,11352.99,10060
CD244,0,0,0,0,0,0,0,0,0,0,1,0
LY9,1,0,0,0,1,0,0,1,1,0,0,0
HS3ST2,857,1086,2246,1733,737,2759,830,686,1464,1786,1736,1461
RBBP6,3375,4148,4486,4240,5194,5013,3570,4981,3727,4082,4792,5494
ZC3H7A,3132,3689,4148,4303,4774,4649,3462,5355,3415,3789,4498,4421
SERAC1,2044,2453,2560,2594,2221,2532,2093,2281,1838,2057,2605,1986
ANXA11,710,960,930,1945,1370,919,952,2068,1028,1028,2097,1815
PRXL2A,11998,13065,13541,15170.99,9715,12831,12559,11707,8597,9768.99,12793,10036
NAA60,2621,3155,3202.98,3327,3236.96,3001.81,2616.92,3279,2390,2537.98,3324,2816
RPL5,22336.07,27315.14,34281.45,33325.99,39236.42,32681.08,25642.43,34847.03,23844.19,25341.69,27390.18,29727.44
PTGFR,115,239,467,335,885,1379,138,165,400,657,280,237
RWDD3,506.05,583.61,621.46,562.72,678.81,624.72,488.34,797.6,485.41,531.68,576.73,515.06
RPAP2,3060,3794,4111,4122,3403,4312,3446,4162,3395,3792,4334,3637
SLC66A2,1595,2049,2484,2365,1736,2090,1602,1730,1455,1537,1777,1633
BBS9,1659,1953,2281,2480,1519,1991,1718,1820,1900,1790,1637,1023
PMS2,2890.18,3295.15,4062.53,3535.53,2841.93,3332.92,2743.58,3377.22,2520.93,2794.54,3252.71,3019.91
OCM,7,13,12,8,8,19,7,7,7,12,13,6
EEPD1,121,136,195,234,446,252,146,405,199,144,276,541
KLHL7,5914,7305,7434,6859,6632,6861,5418,8194,5617,6382,6029,5737
CBX3,11692.94,14129.79,14348.08,13197.27,13267.53,14106.06,11454.95,13629.46,11565.42,12089.08,11765.11,11978.51
NXPH1,92,213,189,202,105,276,171,44,105,267,340,292
NPY,7,13,69,33,32,188,9,67,71,60,129,326
HOXA7,2591,3386,3879,3943,4400,4562,3217,3390,3368,3611,2393,3175
INHBA,480,1177,1634,8314,3475,2799,1176,1091,6013,4619,13225,5885
FKBP9,2409.75,2791.45,2865.48,5142.81,3771.35,2720.75,3105.41,3584.78,3351.24,2945.64,6698.34,5496.14
ARL4A,637.78,817.91,871.54,786,1134.86,1019.61,644.82,1103.61,791,913.82,984.93,1192.93
CCZ1,2823.64,3498.77,3847.96,3397.67,3267.11,3345.71,2704.75,3510.75,2630.91,3057,3659.93,3326.46
POLM,220,321,423,407,572,487,265,531,263,349,355,360
RAMP3,1,4,3,3,4,4,1,0,0,0,9,5
TWIST1,74,96,59,290,1223,126,194,531,424,163,260,1161
SMU1,3406.83,4163.81,4877.88,4761.75,5186.72,4576.82,3613.83,5498.57,3600.86,3956.88,4505.89,4510.95
GLIPR2,856,1077,1155,2549,1423,1146,1015,1910,1622,1417,2472,2193
SLC25A51,765.79,793.82,1355.56,1034.62,752.94,1068.72,741.44,910.8,777.72,806.62,996.98,817.92
CLTA,7339,9138,11432,10737.99,9459,10744,7231,10568,7292,8154,10032,9391
RECK,322,413,515,1348,1543,702,649,908,1209,992,1458,1451
SPINK4,2,0,0,0,0,0,0,0,0,0,1,1
TAF1L,5.05,4.05,9.12,9.11,7.07,12.12,2.01,9.15,5.04,6.07,4.04,8.09
ACO1,1665,2116,2198,3022,3045,2144,1957,3330,2181,2280,2853,2605
PHF24,2550,2410,3723,3754,1141,6055,2789,1524,1986,2182,2807,1781
DNAI1,26,42,26,41,125,39,27,126,34,24,24,52
DCAF10,1788,2215,2451,2604,2880,2924,1958,3277,2075,2233,3028,2863
CNTFR,6002,7204,5873,6663,4558,5799,6112,4464,3780,4472,3883,3322
TRIM24,7577,9812,12438,8997,12743,15330,7724,11438,10400,11515,3845,4329
CALD1,2314,4959,4973,33903,28514,8966,8471,25625,26905,26272,39654,37770
AKR1D1,0,0,0,0,2,3,0,3,0,1,0,2
NUDT10,1362.83,1681.3,1818.17,1730.93,1447.1,1970.2,1494.8,1518.52,1325.01,1486.24,1390.37,1538.58
NEUROG3,0,1,5,2,8,3,1,1,9,1,5,22
PLAU,101,366,519,787,598,231,218,1709,525,802,1541,813
SRGN,1,1,0,3,0,0,0,1,0,1,0,0
CHST3,386,670,812,1678,5870,970,874,7171,1497,1549,3604,5390
BICC1,134,297,516,807,1328,537,548,1298,882,763,734,1459
CISD1,1936,2342,2144,2024,1746.99,2505,1767,1994,1611,2038,1839,1364
ECD,1884,2343,2769,2538,2351,2796,1887,2655,2180,2404,2801,2580
SLC25A16,1299,1432,1594,1681,1240,1592,1289,1714,1195,1299,1967,1519
ZWINT,225,264,306,377,1297,337,306,718,507,478,1051,2510
VPS26A,4472,5403,5671,5461,5257,5786,4670,6627,4471,5165,7072,6392
RBM19,1034,1262,1395,1680,1896,1966,1080,1877,1387,1478,1436,1421
IFT81,1932,2417,2384,2019,2775,2184,1820,2719,1863,2074,1873,2094
ACADS,248,217,276,292,154,182,259,179,153,133,186,117
CDKN2C,0,5,6,35,121,28,22,42,36,24,138,266
RNF11,10475,12703,11244,12262,11412,15190,10542,14245,10968,12426,13152,9950
BHLHE41,397,241,208,269,144,200,367,205,169,87,117,257
ITPR2,69,209,237,809,769,302,237,1123,809,575,1395,1194
NECAB1,4302,4562,3790,2037,804,3757,2052,1837,1848,2500,2882,1073
WWP1,1741,2099.99,2336.99,2445,2371.99,2875,1622,2773.99,1921,2188,2372.99,2050
ACOT9,1167,1431,1627,2287,1510,1610,1303,1717,1408,1401,2252,1899
PRDX4,2292,3004,4106,5636,4855,3813,2727,5557,4017,4046,3740,4098
DDX39A,1903,2174,3085,2776,2473,3637,1804,2019,2062,2095,3406,3661
TRIR,6749,8897,9286,8251,8244,9202,6922,7508,6502,7295,7802,8006
ADGRE5,10,29.94,23.93,84.88,95.88,33.94,38,106.23,46,43.65,411.51,334.2
WDR83,506,626,664,574,466,583,502,515,367,425,515,415
GIPC1,1769,2527,2993,3241,4131,2956,1925,4685,2466,2569,2989,3215
SPRYD7,1799,2144,1983,1757,1307,2061,1748,1709,1501,1751,1965,1297
EBPL,484.99,612.95,616.96,709.96,751,556.99,488.99,786.97,523.99,559,528.93,511.88
NLN,4902,6080,7468,6166,5816,8088,5295,6730,6049,6618,5018,4797
CENPK,87,98,90,184,570,139,185,355,202,192,602,1293
OPTN,8237,9019,11005,11268,5512,11146.88,8429,8036,6490,7068,9794,7599
ITIH5,27,116,140,472,727,321,340,1534,517,377,359,696
ATF1,370,435,418,459,865,563,490,780,504,545,743,854
NEUROD4,117,152,108,114,325,109,99,46,150,140,45,175
NCKAP1L,2,4,6,4,209,19,5,170,9,23,27,42
MMP19,6,7,5,82,95,20,28,153,64,77,87,50
ORMDL2,584,678,781,872,742,676,505,931,516,630,711,640
NR4A1,642,731,1386,861,781,1690,587,547,606,588,1218,939
PDE1B,500,632,642,382,471,647,386,319,338,507,277,285
HOXC13,3,11,6,17,38,5,4,119,8,6,142,167
CDK2,126,164,156,556,2018,316,397,955,786,617,1718,3673
LRP1,6004,8571,15205,19432,22833,21066,9674,24984,14791,15002,29886,31063
HOXC11,3,5,3,19,0,2,4,2,7,7,756,590
NFE2,6,13,11,24,418,18,11,425,13,27,36,124
HOXC12,0,0,1,4,0,0,1,0,1,2,612,647
IKZF4,1606,2195,2246,2152,2457,2487,1832,2355,1729,2107,1812,1471
TUBA1B,53702.47,77408.64,85945.98,87359.12,77791.02,86294.76,56453.67,70833.77,69621.55,73248.49,41498.14,60110.19
EEF1AKMT3,47.69,58.72,55.17,147.87,239.65,93.81,70.33,225.25,112.81,94.35,220.48,199.43
KBTBD4,1636,1988,2486,1861,2068,2040,1419,2339,1677,1816,1499,1407
DBH,96,126,101,86,65,131,74,79,81,123,18,18
HJURP,12,49,45,172,717,91,137,299,295,188,1234,3064
IL13RA2,69,75,318,77,16,524,54,29,143,101,109,98
COL10A1,8,3,7,11,8,15,3,6,59,9,17,31
NDUFAF4,1836,2334,2726,2178,2476,3280,1803,2447,1934,2682.98,1759,1553
PLP1,169,183,168,1164,5512,836,1767,1986,1434,829,322,749
SERPINA7,0,0,0,0,0,0,0,0,0,0,0,0
RAB9B,5400,6481,7890,6309,4572,7708,5095,5768,4809,5369,2480,1879
NRK,17,136,218,561,329,163,233,162,458,273,1121,942
FAM199X,7615,9179,7864,9122,8983,10159,8132,12104,7289,7948,5595,4178
ESX1,0,0,2,1,2,2,0,2,0,3,1,5
MAGEA9,0,2,0,0,0,0,0,0,0,0,2,0
RAB9A,645,824,880,1156,1475,947,665,1672,989,894,691,800
NMI,1,2,1,22,12,9,9,4,14,14,31,37
TNFAIP6,4,14,7,196,60,45,129,4,130,83,46,49
ACVR1C,2,2,14,12,77,27,4,118,20,11,59,101
SLC36A1,3697,4422,5597,6718,3036,6412,3847,4155,3761,4540,4201,2355
LPGAT1,5487,6611,6791,6878,6019,8339,5771.49,6120.88,5357.9,6269,10138.66,7189.88
BATF3,38,47,104,104,54,137,65,42,59,68,70,59
G0S2,160,237,807,270,345,1146,128,46,592,1063,237,120
RAP2C,3819,4748,3954,4970,6206,5547,4672,7367,5372,5257,6817,6434
PLA2G12A,2055.02,2478.44,2690.61,2994.92,2343.58,2847.54,2197.88,3124.8,2102.8,2485.49,3519.55,2666.14
PFKFB2,862,1090,1408,1375,1157,1607,892,1492,996,1074,1339,978
C4BPA,0,0,0,1,0,1,0,3,0,3,0,0
C4BPB,0,0,0,0,0,0,0,2,2,2,0,3
RAB38,2,13,12,27,278,18,11,565,52,41,130,518
GPR83,12,20,26,51,43,91,18,10,58,62,3386,1832
AGO2,3239,4164,4911,5438,5473,6513,4203,5247,4338,4504,7400,6519
MXD4,3814,5102,5112,5743.11,6819,4187,4092,7259,4106,4650,4716,4734
CKS2,263,306,317,457,800,454,281,662,458,481,908,2073
DAW1,0,1,0,0,0,0,0,0,0,0,2,8
INHA,15,11,23,11,37,21,9,20,19,21,18,20
MOGAT1,0,1,0,2,0,0,0,0,0,0,0,0
OBSL1,4274,5298,6870,7157,8247,7462,4407,8196,5163,5451,5249,5219
FAM124B,5,1,6,6,0,4,7,2,2,4,6,4
SLC12A4,243,425.23,600,1470.44,1941.6,582.83,496.73,3594.51,1123.37,1056.43,2390.31,2255.41
ENKD1,291,319,343,297,605,351,296,484,215,279,299,419
MC3R,0,0,0,0,0,0,1,0,1,0,0,0
FAM210B,1564,1808,1661,2066,3115,1232,1909,3843,1767,1648,2413,2278
PI3,1,0,2,0,3,3,0,0,3,3,1,3
SNX21,760,973,1217,1092,886,1196,800,1010,823,842,999,746
SLPI,1,0,0,0,2,0,0,1,2,0,2,4
WFDC3,0,9,8,5,8,2,3,13,1,1,2,4
TTPAL,2237,2763,3123,3357,2888,3068,2295,3365,2485,2651,3185,2641
PREX1,2604,2368,1433,3241,8568,1331,3000,6045,2376,2325,2325,5769
KCNS1,59,118,238,226,194,352,79,61,183,207,236,148
SDC4,40,236,305,405,1155,111,205,1937,446,343,1416,1811
NCOA3,1386,2012,2203,2239,2692,2359,1753,2844,1821,2037,3476,3230
SEMG2,0,0,0,0,0,0,0,1,0,1,0,0
NCOA5,2785,3585,3810,3545,4324,3600,2905,3816,3131,3319,3565,3581
PARD6B,325,390,377,403,398,520,377,606,386,437,434,420
ATP5F1E,7782.98,9904,13719,11212.94,11148,13213,7553,11193,8956,9913,7889,7203
TOX2,3391,3813,4571,3472,1884,4814,3229,2701,2718,2830,2903,2782
SRSF6,11418.73,14448.42,13103.75,11301.42,17410.85,13792.94,9461.4,17322.02,10012.51,10837.05,12473.06,13863.98
GTSF1L,0,0,0,0,0,0,0,0,0,0,0,0
ZNFX1,1093,1413,1784,2445,1691,1746,1550,2217,1682,1751,3192,2593
EDN3,11,21,46,96,320,61,52,106,72,77,111,256
CSE1L,5420,6391,7556,7142,7313,7896,5476,7319,6644,7148,7958,10553
PEDS1-UBE2V1,0,24.87,7.8,0,40.35,8.91,6.9,19.09,9.69,48.29,40.33,7.74
RAB22A,3862,4703,5563,5203,5151,7095,4519,5962,4316,4580,6294,5110
PTGIS,669,779,1019,1281,1440,1130.87,1102,1026,1097,903,839,1073
CDH26,1,3,4,19,13,11,3,16,17,13,8,14
SNAI1,26,48,55,76,204,138,77,90,81,55,72,220
MOCS3,789,874,1113,963,1074,1002,839,1199,828.26,850.23,866,835
STX16,2987.89,3597.4,3739.19,4050.84,5137.35,4490.43,3149.19,5609.72,3114.2,3493.48,5501.13,4892.31
PMEPA1,810,1770,2401,3875,5374,3442,1648,5337,3512,3652,3324,3495
RNF114,3054,3584,4227,3931,3363,3721,2994,3711,2616,2764,4028,3697
RBPJL,0,0,0,0,0,0,0,0,0,0,0,0
SEMG1,0,0,0,0,0,0,0,0,0,0,11,36
C20orf85,0,0,0,0,10,0,0,1,0,0,0,1
KCNK15,28.01,24,34,25,24,21,29,75.04,11,17,80,49
TP53TG5,3,1,0,3,6,1,3,7,0,3,1,2
PCK1,0,5,0,5,64,6,10,105,9,25,11,56
ZBP1,0,1,0,0,0,0,0,0,1,0,1,1
MAGEA10,0,2,0,1,1,2,0,1,1,0,1,0
MTRR,471,518,711,683,1379,967,662,1209,660,792,1013,1407
FASTKD3,329,374,431,384,422,387,346,467,323,385,435,478
PEPD,2155,2783.99,3095,3572,2875,2556,2104,3546,2058,2234,2176,1825
CHST8,7257,8642,5925,10173,2763,2980,6699,7443,4287,3646,4973,2230
VAMP7,1707,2085,1986,2504,2384,2409,1843,2852,1926,2183,3116,2716
NAGK,2762.75,3513,4327,4598,4226,4754,2905,4338,2978,3142,5049,3634
MCEE,170,176,204,212,236,212,172,281,126,150,196,183
PAIP2B,961,1150,1088,1073,1032,1037,1078,1084,711,826,677,977
SNRNP27,2530,3038,2796,2787,2921,3521,2707,3124,2539,2851,2998,2698
IL17C,1,6,1,2,3,2,1,2,2,2,2,0
ATP8A1,9796,13352,14918,13185,13748,19720,10754,13621,11500,13948,7360,7223
USP22,50097,63347,76567,67502,50214,77732,50189,56279,49696,54621,49510,42597
POF1B,0,0,0,0,0,0,0,0,0,0,0,2
ZNF576,673.57,847.16,924.17,926.27,717,815.77,663.41,689.66,614,750,745.17,636.67
IRGC,0,2,0,0,0,0,0,0,0,0,0,0
ZNF45,767,819,963.43,1147,1197,978.87,768,1139,832,911,1134,1193
LYPD3,34,59,63,70,53,62,62,88,45,55,34,36
PSG8,0,0,0,0,0,0,0,0,0,0,0,0
CEACAM8,0,0,0,0,1,0,0,0,0,1,0,0
NDP,5,17,19,13,32,14,9,8,22,19,18,29
CRISP2,0,0,0,0,0,0,0,0,0,0,0,0
PACSIN1,91,144,267,189,172,278,113,190,137,195,148,163
BTN2A2,148.36,222.58,263.58,455.44,788.66,232.74,237.62,1046.47,315.51,301.34,731.65,797.41
WRNIP1,2727,3514,4437,3406,3758,4676,2785,3660,2836,3168,3337,3327
RRP36,1691,2224,2653,2695,2189,2567,1704,2689,2042,2282,2344,2269
SNRPC,2043,2624.99,3017,2879,3218,2804,2180,2912,2071,2362,2858,3157
SLC17A3,0,5,3,0,0,0,1,0,1,0,0,0
XPO5,7098,8267,8905,8588,6150,7237,7255,6587,5485,5651,9664,7683
